loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36,loc37,loc38,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l1ex.started,l1ex.stopped,l2ex.started,l2ex.stopped,t1ex.started,t1ex.stopped,tTex.started,tTex.stopped,trialFix.started,trialFix.stopped,trialL11.started,trialL11.stopped,trialL12.started,trialL12.stopped,trialL21.started,trialL21.stopped,trialL22.started,trialL22.stopped,trialT11.started,trialT11.stopped,trialT12.started,trialT12.stopped,trialL13.started,trialL13.stopped,trialL14.started,trialL14.stopped,trialL23.started,trialL23.stopped,trialL24.started,trialL24.stopped,trialT13.started,trialT13.stopped,trialT14.started,trialT14.stopped,trialL15.started,trialL15.stopped,trialL16.started,trialL16.stopped,trialL25.started,trialL25.stopped,trialL26.started,trialL26.stopped,trialT15.started,trialT15.stopped,trialT16.started,trialT16.stopped,trialTT.started,trialTT.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.629504800075665,None,space,0.6886229000519961,27.629504800075665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
-0.2,-0.2,-0.4,0.4,-0.4,0.0,0.4,0.2,-0.4,-0.4,0.4,-0.2,0.4,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.2,0.4,0.0,-0.4,-0.2,0.2,0.2,0.2,-0.2,0.0,0.2,-0.2,0.4,-0.4,None,None,k,0,0,0,0,,,,,,,27.629504800075665,None,27.629504800075665,None,27.629504800075665,None,27.629504800075665,None,28.53335260017775,29.561752200126648,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,29.534175000153482,None,s,0,5.263782699825242,29.534175000153482,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
0.4,0.0,-0.2,0.2,-0.4,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,-0.4,0.4,-0.4,0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.4,0.0,-0.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,k,0,1,1,1,,,,,,,,,,,,,,,34.844635399989784,35.844393600011244,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,35.844393600011244,None,k,1,0.42562310001812875,35.844393600011244,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
-0.4,-0.2,0.4,-0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.4,0.0,-0.4,0.2,0.4,-0.2,-0.4,-0.2,0.4,0.4,-0.4,-0.4,0.2,-0.4,0.0,-0.2,0.2,0.2,-0.4,0.0,-0.2,0.0,0.4,None,None,k,0,2,2,2,,,,,,,,,,,,,,,36.303699400043115,37.31215290003456,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,37.29401449998841,None,s,0,0.32798609999008477,37.29401449998841,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
0.2,-0.2,None,None,0.4,-0.2,-0.4,0.0,0.4,0.2,0.0,0.2,-0.4,0.2,-0.4,-0.2,-0.2,0.4,-0.2,0.2,-0.2,0.0,0.2,0.0,None,None,None,None,None,None,None,None,None,None,None,None,0.4,0.0,s,0,3,3,3,,,,,,,,,,,,,,,37.65337400021963,38.66229210002348,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,38.64364990009926,None,k,0,0.22629049979150295,38.64364990009926,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
-0.4,-0.2,0.4,-0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,k,0,4,4,4,,,,,,,,,,,,,,,38.903183000162244,39.91083470010199,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,39.89337360020727,None,s,0,0.17661609989590943,39.89337360020727,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,-0.2,-0.4,0.4,-0.4,0.2,0.4,0.2,-0.4,0.0,0.4,0.4,0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,k,0,5,5,5,,,,,,,,,,,,,,,40.10589500004426,41.11075960006565,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,41.09303140011616,None,k,1,0.3529191000852734,41.09303140011616,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
0.2,-0.2,-0.4,0.0,-0.4,0.2,0.4,0.2,-0.4,-0.4,0.4,0.4,-0.4,-0.2,0.2,0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,-0.4,-0.2,0.4,-0.4,0.4,0.0,0.0,0.4,-0.2,-0.2,0.2,0.4,0.0,None,None,k,0,6,6,6,,,,,,,,,,,,,,,41.48533350019716,42.49408460012637,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,42.475965100107715,None,d,0,0.305980599950999,42.475965100107715,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
0.4,0.2,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,k,0,7,7,7,,,,,,,,,,,,,,,42.81896180007607,43.82645650021732,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,43.809002900030464,None,k,1,0.2048812999855727,43.809002900030464,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
-0.2,-0.2,-0.4,0.0,-0.4,0.2,0.4,0.2,-0.4,0.4,0.4,0.4,None,None,-0.4,-0.2,0.2,-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.4,-0.4,0.0,-0.2,0.4,-0.2,0.0,-0.4,0.2,0.0,0.0,0.0,0.4,0.0,s,0,8,8,8,,,,,,,,,,,,,,,44.05134680005722,45.06020890013315,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,45.04204580001533,None,l,0,0.28383169998414814,45.04204580001533,None,a,001,2020_Jun_10_1443,vSearchAlpha6,2020.1.3,59.94901932867829,
